dog_id,date,km
1,2026-06-03,8.4
1,2026-06-02,6.2
1,2026-05-31,12.1
1,2026-05-28,7.9
1,2026-05-20,10.4
1,2026-05-10,5.6
2,2026-06-03,5.7
2,2026-06-01,8.8
2,2026-05-30,9.5
2,2026-05-26,6.3
2,2026-05-18,7.2
3,2026-06-03,10.2
3,2026-06-02,9.4
3,2026-05-31,11.8
3,2026-05-29,13.6
3,2026-05-21,8.1
3,2026-05-13,9.9
4,2026-06-02,4.4
4,2026-05-31,5.2
4,2026-05-27,6.1
4,2026-05-23,4.8
4,2026-05-15,5.9
1,2026-04-26,9.8
1,2026-04-14,7.1
1,2026-04-04,11.2
2,2026-04-24,8.4
2,2026-04-12,6.8
2,2026-04-02,9.1
3,2026-04-28,12.5
3,2026-04-16,10.6
3,2026-04-06,8.9
4,2026-04-25,5.7
4,2026-04-11,6.4
4,2026-04-01,4.9
1,2026-03-27,10.3
1,2026-03-18,8.6
1,2026-03-05,6.9
2,2026-03-29,7.8
2,2026-03-17,9.4
2,2026-03-03,6.2
3,2026-03-26,11.7
3,2026-03-15,13.2
3,2026-03-01,9.6
4,2026-03-24,5.1
4,2026-03-13,7.0
4,2026-03-02,5.8
1,2026-02-24,8.9
1,2026-02-12,7.5
1,2026-02-01,10.8
2,2026-02-26,9.2
2,2026-02-14,6.7
2,2026-02-03,8.1
3,2026-02-22,12.0
3,2026-02-10,10.1
3,2026-02-02,11.4
4,2026-02-25,6.3
4,2026-02-13,4.6
4,2026-02-04,5.5
1,2026-01-29,9.4
1,2026-01-16,8.0
1,2026-01-04,7.3
2,2026-01-27,7.9
2,2026-01-15,8.7
2,2026-01-05,6.5
3,2026-01-30,10.9
3,2026-01-18,12.7
3,2026-01-06,9.8
4,2026-01-26,5.4
4,2026-01-14,6.2
4,2026-01-03,4.8
1,2025-12-28,11.0
1,2025-12-15,8.3
2,2025-12-26,7.6
2,2025-12-12,9.0
3,2025-12-29,12.8
3,2025-12-17,10.5
4,2025-12-23,5.9
4,2025-12-09,6.6
1,2025-11-22,9.7
1,2025-11-08,7.4
2,2025-11-25,8.6
2,2025-11-10,6.9
3,2025-11-21,11.9
3,2025-11-06,13.1
4,2025-11-19,5.2
4,2025-11-04,6.0
1,2025-10-20,10.6
1,2025-10-07,8.1
2,2025-10-24,7.3
2,2025-10-09,9.5
3,2025-10-18,12.2
3,2025-10-05,10.8
4,2025-10-22,6.7
4,2025-10-03,5.1
1,2025-09-18,8.8
1,2025-09-02,9.9
2,2025-09-21,7.1
2,2025-09-06,8.4
3,2025-09-16,11.5
3,2025-09-01,12.6
4,2025-09-20,5.6
4,2025-09-04,6.3
